term,coef,se,t,p,ci_lo,ci_hi,event_time,group,outcome,n_obs,n_authors,n_clusters,cond,meaningful
k+3:HONEST_ERROR,-0.032721473743314966,0.006983038743630808,-4.685850235781671,2.788000846409844e-06,-0.04640822968083135,-0.01903471780579858,3,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+4:HONEST_ERROR,-0.034615988512551675,0.007801497764922054,-4.437095229097657,9.118096183868829e-06,-0.049906924131798897,-0.01932505289330445,4,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+5:HONEST_ERROR,-0.021546701255693676,0.007848256332554876,-2.7454125276613497,0.0060434876037676055,-0.03692928366750123,-0.00616411884388612,5,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k+6:HONEST_ERROR,-0.02510527641923735,0.009136416511833341,-2.7478252974480086,0.005999196529857365,-0.0430126527824307,-0.0071979000560439994,6,HONEST_ERROR,active,475189,36553,3207,22.904726331845673,1.0
k-6:AUTHOR_MISCONDUCT,-0.8392751665864833,0.18037477526695955,-4.652951973713249,3.2721648062228326e-06,-1.192809726109724,-0.48574060706324257,-6,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k-5:AUTHOR_MISCONDUCT,-0.6844884631038255,0.1432646957263475,-4.777788830901364,1.7723336418473679e-06,-0.9652872667274666,-0.40368965948018437,-5,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k-4:AUTHOR_MISCONDUCT,-0.5243418901780369,0.11429857759926047,-4.5874752004038015,4.486387018776128e-06,-0.7483671022725874,-0.3003166780834864,-4,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k-3:AUTHOR_MISCONDUCT,-0.3309784106723988,0.08966624038889985,-3.6912265891475022,0.00022317520943015978,-0.5067242418346425,-0.1552325795101551,-3,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+0:AUTHOR_MISCONDUCT,0.47841986808379744,0.08001932176761013,5.978804337697475,2.247813490896533e-09,0.3215819974192816,0.6352577387483133,0,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+1:AUTHOR_MISCONDUCT,-0.20561508712368742,0.10290865847985216,-1.9980348608270266,0.04571288083439118,-0.40731605774419766,-0.00391411650317719,1,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+2:AUTHOR_MISCONDUCT,-0.14910406260994774,0.12606131183836297,-1.182790028404039,0.23689237348263803,-0.39618423381313916,0.09797610859324368,2,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+3:AUTHOR_MISCONDUCT,0.018846870027979454,0.16102024439384344,0.11704658689923128,0.9068231361628665,-0.2967528089839537,0.3344465490399126,3,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+4:AUTHOR_MISCONDUCT,0.3620089022936288,0.2352319999343788,1.5389441164238546,0.12381793972381128,-0.0990458175777536,0.8230636221650112,4,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
k+5:AUTHOR_MISCONDUCT,0.4771574789550297,0.23992959378251857,1.9887395774426377,0.04672995512006972,0.006895475141293295,0.9474194827687661,5,AUTHOR_MISCONDUCT,publications,475189,36553,3207,22.904726331845644,
