openalex_id,doi,pub_year,n_authors,source_id,retraction_date,retraction_year,category,rw_journal,rw_publisher
W2943283123,10.1186/s12943-018-0933-7,2019,6,S132829192,2022-07-08,2022.0,AUTHOR_MISCONDUCT,Molecular Cancer,Springer - Biomed Central (BMC)
W2090125069,10.1007/s12013-014-9959-7,2014,3,S188545443,2021-10-28,2021.0,AUTHOR_MISCONDUCT,Cell Biochemistry and Biophysics,Springer
W2083183296,10.1038/onc.2008.476,2009,8,S128439998,2022-05-19,2022.0,HONEST_ERROR,Oncogene,Springer - Nature Publishing Group
W3119801633,10.1007/s00366-020-01246-x,2021,4,S89333158,2022-11-26,2022.0,AUTHOR_MISCONDUCT,Engineering with Computers,Springer
W3164848286,10.1007/s12517-021-07364-0,2021,2,S38407038,2021-11-09,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W3171475555,10.1088/1757-899x/1145/1/012065,2021,6,S4210189194,2022-02-23,2022.0,AUTHOR_MISCONDUCT,IOP Conference Series: Materials Science and Engineering,IOP Publishing
W3156970070,10.1007/s12652-021-03052-9,2021,5,S48031226,2022-10-30,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W2139690699,10.1186/s12943-015-0315-3,2015,7,S132829192,2019-07-18,2019.0,AUTHOR_MISCONDUCT,Molecular Cancer,Springer - Biomed Central (BMC)
W2132555171,10.1186/1471-230x-13-126,2013,10,S180811554,2021-10-11,2021.0,AUTHOR_MISCONDUCT,BMC Gastroenterology,Springer - Biomed Central (BMC)
W2909005457,10.1007/s10257-018-00396-2,2019,4,S56271844,2022-11-16,2022.0,EDITORIAL_COMPROMISE,Information Systems and e-Business Management,Springer
W2902992446,10.1007/s10257-018-0382-2,2018,3,S56271844,2022-01-14,2022.0,EDITORIAL_COMPROMISE,Information Systems and e-Business Management,Springer
W2803550782,10.3758/s13423-018-1489-7,2018,3,S138679565,2020-03-03,2020.0,HONEST_ERROR,Psychonomic Bulletin & Review,Springer
W2899104435,10.1007/s00521-018-3858-6,2018,4,S147897268,2022-12-12,2022.0,EDITORIAL_COMPROMISE,Neural Computing and Applications,Springer
W2135565303,10.1007/s00521-012-1233-6,2012,5,S147897268,2021-01-19,2021.0,AUTHOR_MISCONDUCT,Neural Computing and Applications,Springer
W2944706539,10.1007/s11227-019-02882-x,2019,3,S32326811,2022-10-04,2022.0,EDITORIAL_COMPROMISE,The Journal of Supercomputing,Springer
W2962890323,10.1007/s40879-018-0257-6,2018,3,S4210211152,2018-05-31,2018.0,HONEST_ERROR,European Journal of Mathematics,Springer
W2948718673,10.1007/s00894-017-3442-5,2017,3,S113170167,2019-06-03,2019.0,AUTHOR_MISCONDUCT,Journal of Molecular Modeling,Springer
W2969555231,10.1007/s10143-019-01166-5,2019,4,S98437390,2019-11-08,2019.0,EDITORIAL_COMPROMISE,Neurosurgical Review,Springer
W2947217349,10.1186/s12885-019-5656-7,2019,7,S192926780,2022-04-14,2022.0,ETHICS_VIOLATION,BMC Cancer,Springer - Biomed Central (BMC)
W1076271826,10.1007/s13277-015-3866-4,2015,6,S12644804,2017-04-20,2017.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer
W3034801786,10.1007/s12144-020-00822-0,2020,3,S203585231,2020-06-14,2020.0,EDITORIAL_COMPROMISE,Current Psychology,Springer
W3081450257,10.1007/s12652-020-02406-z,2020,2,S48031226,2022-07-04,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer
W2740903726,10.1038/s41598-017-07882-6,2017,6,S196734849,2019-11-12,2019.0,HONEST_ERROR,Scientific Reports,Springer - Nature Publishing Group
W2770661082,10.1186/s13046-017-0628-8,2017,8,S33781645,2021-12-20,2021.0,AUTHOR_MISCONDUCT,Journal of Experimental & Clinical Cancer Research: (CR),Springer - Biomed Central (BMC)
W2777428115,10.1007/s10586-017-1495-y,2017,3,S106148199,2022-12-05,2022.0,EDITORIAL_COMPROMISE,Cluster Computing,Springer
W2782775137,10.1007/s10854-018-8543-0,2018,6,S189509794,2020-05-06,2020.0,AUTHOR_MISCONDUCT,Journal of Materials Science: Materials in Electronics,Springer
W3192654027,10.1007/s12517-021-07894-7,2021,2,S38407038,2021-11-15,2021.0,AUTHOR_MISCONDUCT,Arabian Journal of Geosciences,Springer
W3191834609,10.1007/s00779-021-01628-y,2021,2,S58126648,2022-12-06,2022.0,EDITORIAL_COMPROMISE,Personal and Ubiquitous Computing,Springer
W2137003149,10.1007/s00521-012-0857-x,2012,4,S147897268,2015-10-26,2015.0,AUTHOR_MISCONDUCT,Neural Computing and Applications,Springer
W2139414991,10.1007/s10753-013-9705-0,2013,7,S127393932,2020-10-12,2020.0,HONEST_ERROR,Inflammation,Springer
W2314259839,10.1007/s13277-014-2787-y,2014,6,S12644804,2015-09-01,2015.0,EDITORIAL_COMPROMISE,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),Springer - Nature Publishing Group
W2072428250,10.1007/s10571-010-9592-y,2010,3,S33948212,2020-04-06,2020.0,HONEST_ERROR,Cellular and Molecular Neurobiology,Springer
W3033822075,10.1007/s12652-020-02126-4,2020,2,S48031226,2022-06-20,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W4210546751,10.1007/s13204-021-02154-2,2022,2,S2764818521,2022-12-04,2022.0,EDITORIAL_COMPROMISE,Applied Nanoscience,Springer
W3098116334,10.1186/s13287-021-02183-2,2021,5,S2061155,2021-10-07,2021.0,AUTHOR_MISCONDUCT,Stem Cell Research & Therapy,Springer - Biomed Central (BMC)
W3152413371,10.1007/s12652-021-03150-8,2021,2,S48031226,2022-10-24,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W3080555939,10.1007/s12652-020-02417-w,2020,3,S48031226,2022-07-04,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer
W3121119976,10.1007/s00477-020-01921-x,2021,8,S81024170,2022-05-09,2022.0,EDITORIAL_COMPROMISE,Stochastic Environmental Research and Risk Assessment,Springer - Nature Publishing Group
W3137187423,10.1371/journal.pone.0248873,2021,2,S202381698,2021-06-21,2021.0,AUTHOR_MISCONDUCT,PLoS One,PLoS
W3038108742,10.1007/s12652-020-02232-3,2020,2,S48031226,2022-07-04,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer
W3081765132,10.1007/s11051-020-04970-z,2020,7,S194298869,2021-08-10,2021.0,EDITORIAL_COMPROMISE,Journal of Nanoparticle Research,Springer
W3047242923,10.1007/s12652-020-02316-0,2020,2,S48031226,2022-05-23,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W3036310658,10.1007/s11051-020-04915-6,2020,4,S194298869,2022-10-08,2022.0,HONEST_ERROR,Journal of Nanoparticle Research,Springer
W3033448544,10.1007/s40808-020-00823-9,2020,3,S2764607366,2021-02-08,2021.0,AUTHOR_MISCONDUCT,Modeling Earth Systems and Environment,Springer
W2101732690,10.1557/jmr.2014.367,2014,3,S19730638,2017-03-06,2017.0,AUTHOR_MISCONDUCT,Journal of Materials Research,Cambridge University Press
W2104557436,10.1186/s13287-015-0060-y,2015,12,S2061155,2022-02-03,2022.0,AUTHOR_MISCONDUCT,Stem Cell Research & Therapy,Springer - Biomed Central (BMC)
W2102404576,10.4103/0019-5413.164043,2015,5,S26070724,2022-09-09,2022.0,AUTHOR_MISCONDUCT,Indian Journal of Orthopaedics,Springer
W2099445341,10.1007/s00704-015-1482-2,2015,6,S202078656,2020-03-09,2020.0,EDITORIAL_COMPROMISE,Theoretical and Applied Climatology,Springer
W2114343287,10.1038/sj.emboj.7601404,2006,3,S127916151,2019-10-15,2019.0,AUTHOR_MISCONDUCT,The EMBO Journal,Wiley
W2089902371,10.1007/s11010-011-1151-4,2011,7,S11742566,2022-10-17,2022.0,HONEST_ERROR,Molecular and Cellular Biochemistry,Springer
W2473557003,10.1007/s12011-016-0788-y,2016,9,S45954700,2022-11-24,2022.0,AUTHOR_MISCONDUCT,Biological Trace Element Research,Springer
W3172439123,10.1088/1742-6596/1916/1/012137,2021,6,S4210187594,2022-02-23,2022.0,AUTHOR_MISCONDUCT,Journal of Physics: Conference Series,IOP Publishing
W3160212652,10.1007/s11042-021-10790-7,2021,2,S110206669,2022-09-12,2022.0,EDITORIAL_COMPROMISE,Multimedia Tools and Applications,Springer - Nature Publishing Group
W3166307357,10.1007/s00500-021-05898-9,2021,4,S65753830,2022-12-27,2022.0,EDITORIAL_COMPROMISE,Soft Computing,Springer
W4206280626,10.1007/s10854-020-03371-1,2020,5,S189509794,2021-10-05,2021.0,AUTHOR_MISCONDUCT,Journal of Materials Science: Materials in Electronics,Springer
W2973729722,10.1007/s00607-019-00727-2,2019,3,S35593046,2022-05-09,2022.0,EDITORIAL_COMPROMISE,Computing,Springer - Nature Publishing Group
W2789153841,10.1007/s10586-018-1962-0,2018,6,S106148199,2022-12-01,2022.0,EDITORIAL_COMPROMISE,Cluster Computing,Springer
W2953375506,10.1007/s12633-018-9824-1,2018,3,S52783196,2019-06-18,2019.0,HONEST_ERROR,Silicon,Springer
W2790765873,10.1007/s10586-017-1684-8,2018,4,S106148199,2022-12-01,2022.0,EDITORIAL_COMPROMISE,Cluster Computing,Springer
W1926170366,10.1007/s11071-014-1726-1,2014,3,S138681734,2015-10-05,2015.0,AUTHOR_MISCONDUCT,Nonlinear Dynamics,Springer
W3014869222,10.1007/s12652-020-01911-5,2020,2,S48031226,2022-06-07,2022.0,EDITORIAL_COMPROMISE,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
W4206226795,10.1186/1471-2407-14-28,2014,6,S192926780,2015-03-26,2015.0,EDITORIAL_COMPROMISE,BMC Cancer,BioMed Central (BMC)
W2993892650,10.1007/s00210-019-01770-8,2019,5,S159534381,2020-12-08,2020.0,AUTHOR_MISCONDUCT,Naunyn-Schmiedeberg's Archives of Pharmacology,Springer
