treated_id,control_id,pseudo_retraction_year,arm,treated_position,career_band,income_group,treated_pre_pubs,control_pre_pubs,treated_pre_recent,control_pre_recent,treated_pre_early,control_pre_early,treated_pre_growth,control_pre_growth,match_distance
A5013315693,A5004491419,2017,HONEST_ERROR,middle,veteran (20y+),higher,483,530,166,174,317,356,-0.3538603357551615,-0.4222722264245453,0.22932581664028007
A5053281849,A5110388621,2017,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5042449384,A5108107947,2017,HONEST_ERROR,first,senior (10-20y),higher,22,22,6,6,16,16,-0.5108256237659907,-0.5108256237659907,0.0
A5057032257,A5012224683,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,284,285,104,104,180,181,-0.25442485069529885,-0.25984491816463784,0.01084013493867797
A5047995660,A5084821187,2017,AUTHOR_MISCONDUCT,first,mid (5-10y),higher,8,8,7,7,1,1,0.9808292530117264,0.9808292530117264,0.0
A5013871626,A5000022980,2017,EDITORIAL_COMPROMISE,last,senior (10-20y),higher,0,0,0,0,0,0,0.0,0.0,0.0
A5101529423,A5062129001,2017,HONEST_ERROR,middle,mid (5-10y),higher,5,5,5,5,0,0,0.9808292530117262,0.9808292530117262,0.0
A5044529180,A5103550102,2017,AUTHOR_MISCONDUCT,middle,mid (5-10y),higher,10,10,6,6,4,4,0.4054651081081643,0.4054651081081643,0.0
A5101778985,A5053301789,2017,AUTHOR_MISCONDUCT,middle,veteran (20y+),higher,7,7,3,3,4,4,0.0,0.0,0.0
A5110336587,A5100660341,2017,EDITORIAL_COMPROMISE,middle,senior (10-20y),higher,16,16,10,10,6,6,0.5500463369192721,0.5500463369192721,0.0
A5005754381,A5016153553,2017,HONEST_ERROR,first,mid (5-10y),higher,16,16,9,9,7,7,0.3746934494414107,0.3746934494414107,0.0
A5100680074,A5086556132,2017,HONEST_ERROR,last,veteran (20y+),higher,404,416,216,226,188,190,0.41925843024050025,0.45354591694269253,0.089300547475478
